-5,0,98
-6,2,99
-9,-1,97
-6,0,100
-10,-4,89
-7,-5,95
-6,-6,98
-6,-2,102
-5,0,107
-5,-3,106
-5,-2,99
-5,-2,99
-6,-6,94
-5,-3,98
-4,-6,100
-4,-4,101
-4,-6,94
-3,-4,96
-3,-7,97
-3,-5,96
-2,-8,93
-1,-10,91
-1,-5,102
-3,-2,107
-4,0,106
-4,4,110
-5,4,103
-3,5,102
-4,6,106
0,2,111
-3,3,102
-6,0,103
-7,-10,79
-3,-19,67
-2,-16,77
-3,-5,91
-6,3,99
-5,3,103
-6,1,101
-5,1,105
-6,0,106
-7,0,106
-6,-3,106
-5,-6,101
-11,-10,96
-5,-7,94
-5,-9,91
-6,-2,98
-6,-1,102
-7,1,107
-7,0,105
-8,0,102
-7,-1,97
-6,-3,99
-5,-8,97
-5,-10,91
-4,-10,89
-4,-6,90
-5,-7,94
-4,-6,95
-4,-4,97
-5,-2,102
-4,-3,106
-4,-5,106
-2,-9,99
-2,-12,94
-3,-7,94
-3,-7,96
-3,-9,96
-3,-10,102
-4,-7,103
-4,-6,104
-5,-7,99
-4,-4,101
-5,-4,101
-5,-4,100
-5,-8,96
-3,-12,95
-3,-10,93
-3,-9,94
-3,-6,98
-4,-4,101
-4,-5,102
-5,-6,101
-4,-5,101
-4,-4,101
-4,-5,99
-3,-7,101
-3,-8,99
-1,-3,98
-1,-5,98
0,-6,94
1,-7,94
1,-8,98
1,-10,102
1,-8,101
0,-4,104
0,-3,104
-1,-3,103
-1,-6,107
-2,-5,109
-3,-1,111
-4,-3,108
-4,-3,103
-4,-2,98
-4,1,95
-3,0,95
-3,0,94
-3,1,94
-3,1,93
-2,1,95
-2,1,96
-1,-1,96
0,-6,99
2,-8,101
2,-6,102
3,-2,102
3,0,98
3,-3,96
5,-3,96
5,-3,97
6,0,100
6,1,103
5,1,102
5,-1,101
5,-4,102
5,-3,104
4,-2,105
4,-1,106
3,0,103
4,-1,99
4,0,99
3,2,98
3,1,97
3,0,97
3,1,100
3,0,99
3,-1,102
3,-2,102
3,-4,102
3,-1,103
2,1,105
2,1,103
2,0,100
3,1,98
2,4,93
3,3,88
3,5,83
4,3,84
3,4,86
4,4,92
4,4,96
4,1,100
5,3,103
4,0,106
5,1,107
4,2,103
4,6,102
4,6,95
5,6,96
5,0,90
5,0,90
5,1,94
5,3,92
5,0,99
5,3,99
4,5,102
4,5,104
3,8,104
3,6,99
3,5,96
3,6,97
2,6,95
1,7,97
0,9,95
0,10,93
0,11,89
0,11,91
-1,9,96
-1,6,99
0,4,103
0,6,105
0,9,103
0,10,104
0,9,97
-1,11,98
-1,10,95
-2,13,93
-2,11,90
-1,13,87
-2,15,91
-3,15,96
-5,14,95
-4,13,100
-5,13,107
-5,12,111
-5,10,113
-5,11,110
-5,11,106
-5,10,100
-4,6,93
-4,11,91
-5,16,93
-6,17,93
-6,18,94
-7,16,92
-7,18,94
-7,18,92
-6,18,95
-6,17,93
-6,18,97
-5,18,93
-4,20,90
-4,23,90
-4,24,88
-3,26,85
-3,27,82
-3,25,81
-2,22,84
-2,23,88
-3,24,92
-4,24,96
-6,24,97
-6,21,93
-7,20,101
-8,21,103
-9,25,104
-9,24,103
-9,24,105
-10,23,100
-10,27,103
-10,27,104
-10,28,99
-9,25,97
-8,23,98
-5,24,102
-6,19,102
-5,20,102
-6,24,101
-5,23,102
-5,20,103
-5,19,104
-4,18,108
-5,20,110
-5,22,110
-6,21,105
-5,18,103
-5,21,101
-6,23,105
15,19,106
-2,13,90
-5,23,103
-7,38,108
-5,31,106
-6,33,110
-5,32,102
-3,27,99
-4,27,100
0,23,101
-1,22,109
2,12,107
2,6,112
3,10,113
3,7,115
3,5,115
2,4,108
3,2,103
2,2,95
1,7,93
6,15,84
0,18,94
1,12,87
0,19,86
3,20,79
7,19,79
8,18,76
10,20,77
12,14,71
13,14,71
14,14,75
15,12,80
15,7,88
14,4,97
16,2,100
15,0,107
15,-5,108
15,-8,108
15,-12,110
14,-14,114
12,-10,118
10,-2,115
9,0,102
8,6,92
7,10,80
6,12,75
7,13,79
6,14,78
4,15,81
4,13,82
5,14,82
4,17,81
4,19,83
4,19,86
4,19,88
5,17,90
7,14,91
8,15,87
10,16,86
11,16,86
11,17,82
12,9,81
13,2,84
13,3,97
13,2,102
13,2,104
14,4,101
13,7,103
12,9,107
11,12,111
10,16,106
9,16,102
9,14,99
7,14,101
5,15,104
4,15,107
4,17,112
4,21,115
5,25,114
6,25,112
7,24,105
8,23,98
8,24,100
7,23,97
9,23,101
8,19,111
6,24,115
2,27,119
0,19,126
-2,5,138
-3,-3,144
-5,-6,144
-6,-5,148
-8,-4,140
-10,0,129
-10,1,116
-10,6,108
-9,12,100
-9,15,98
-7,15,93
-6,15,87
-4,11,78
-4,6,72
-2,1,72
-1,1,80
-2,0,85
-2,0,88
-3,0,92
-3,-1,101
-4,-1,110
-5,4,107
-5,0,101
-5,-2,94
-5,-7,90
-5,-4,92
-5,3,89
-6,4,88
-5,5,83
-5,7,85
-7,8,86
-7,12,85
-7,15,81
-8,17,80
-7,19,78
-6,22,79
-7,23,76
-6,21,73
-5,19,78
-5,20,85
-6,19,91
-6,19,94
-6,19,97
-5,19,98
-3,14,100
-1,12,103
0,13,103
1,13,97
2,9,82
3,3,82
3,6,87
1,12,94
0,18,96
-1,21,97
-4,24,97
-5,28,98
-8,33,99
-9,32,101
-9,28,104
-10,30,104
-10,30,101
-10,29,99
-10,22,98
-10,20,103
-10,22,115
-7,26,131
-4,35,140
-1,40,123
0,40,106
0,30,98
0,16,112
1,2,138
0,-2,145
1,-6,151
-1,-6,144
-4,-1,134
-6,7,123
-7,15,110
-7,22,98
-5,24,92
-1,26,86
2,24,71
7,16,62
11,11,61
14,10,52
9,12,87
7,14,82
6,8,88
9,4,93
7,10,95
6,15,97
7,4,108
8,2,107
10,3,94
12,-2,92
12,-3,86
12,0,84
10,0,90
9,0,95
6,2,98
4,7,96
1,12,96
0,13,90
-1,15,82
0,15,78
1,16,78
2,20,79
4,19,74
6,15,74
7,13,74
7,16,73
6,17,82
4,18,83
4,19,85
3,21,87
3,19,94
4,18,97
4,20,95
5,23,94
5,17,94
7,16,89
7,16,88
7,16,91
7,17,94
6,23,94
5,24,98
4,25,102
3,24,103
2,22,105
1,19,111
0,20,115
0,16,111
0,15,102
1,17,100
1,16,101
1,21,104
1,23,105
1,23,105
1,21,106
0,20,104
2,24,107
0,35,104
-5,36,102
-12,31,112
-17,27,120
-22,19,138
-24,13,153
-24,4,156
-23,-4,142
-19,-11,126
-14,-10,114
-10,-2,106
-5,0,87
-3,4,74
0,5,74
2,5,77
3,7,81
0,18,78
-4,17,80
-9,13,90
-13,9,92
-17,13,94
-21,17,92
-22,13,102
-23,8,107
-22,7,112
-20,3,115
-17,-1,114
-13,0,105
-11,-1,99
-8,-5,95
-6,-3,87
-4,-3,86
-4,1,84
-5,6,80
-5,9,80
-6,15,79
-7,17,77
-7,18,77
-7,17,77
-7,19,84
-7,18,82
-6,18,81
-6,16,81
-4,16,82
-4,15,83
-3,16,87
-3,14,88
-3,12,92
-4,11,95
-7,11,100
-8,11,103
-10,13,101
-11,14,101
-11,13,103
-11,14,100
-10,15,100
-10,16,102
-10,16,98
-8,17,96
-8,17,99
-8,16,99
-8,15,101
-7,14,104
-8,11,110
-9,12,114
-9,15,113
-7,13,111
-4,11,106
-2,14,100
1,20,97
2,29,92
1,33,84
0,26,83
-3,18,103
-8,16,117
-5,1,137
-2,-7,142
-1,-11,139
0,-15,135
1,-18,134
3,-16,126
6,-12,115
9,-4,101
12,0,92
13,6,84
12,12,76
10,13,79
6,17,82
3,16,86
1,16,92
0,14,98
0,12,101
0,8,104
1,4,104
3,2,101
5,-2,104
6,-3,109
7,-5,108
7,-8,106
7,-8,104
5,-4,102
3,-2,100
1,0,92
0,2,86
-1,5,80
-1,9,79
-2,12,75
-1,14,72
-1,14,69
0,12,65
0,10,71
0,12,73
0,16,78
0,14,79
0,12,78
0,13,79
0,12,84
0,11,87
0,11,88
-1,10,90
0,10,92
0,11,98
0,13,100
1,12,98
2,14,94
3,14,93
4,14,93
5,14,94
5,14,95
5,13,97
4,15,105
2,15,111
0,13,113
-1,10,118
