 27,  -58, 85
 26,  -52, 77
 26,  -46, 83
 25,  -49, 85
 27,  -53, 84
 26,  -55, 80
 27,  -57, 81
 29,  -67, 79
 21,  -54, 69
 21,  -53, 73
 24,  -56, 78
 29,  -51, 80
 24,  -58, 74
 25,  -54, 75
 32,  -48, 83
 29,  -48, 83
 29,  -43, 80
 32,  -46, 81
 15,  -33, 77
 18,  -54, 53
 31,  -60, 69
 32,  -65, 75
 36,  -55, 80
 22,  -54, 71
 28,  -53, 78
 33,  -56, 80
 30,  -55, 76
 -50,  21, 5
 86,  -126, 60
 40,  -54, 110
 25,  -30, 87
 22,  -67, 71
 35,  -69, 83
 37,  -48, 85
 37,  -42, 86
 32,  -51, 85
 25,  -56, 79
 26,  -56, 69
 25,  -58, 70
 26,  -54, 71
 28,  -53, 75
 30,  -54, 76
 32,  -55, 79
 31,  -55, 81
 31,  -54, 79
 30,  -55, 74
 33,  -52, 82
 34,  -54, 84
 38,  -57, 77
 33,  -55, 75
 33,  -53, 78
 34,  -60, 83
 36,  -64, 84
 31,  -66, 82
 29,  -72, 74
 38,  -73, 50
 29,  -59, 85
 36,  -55, 70
 32,  -67, 72
 32,  -65, 69
 33,  -64, 68
 31,  -61, 71
 36,  -66, 73
 39,  -64, 79
 43,  -64, 76
 41,  -57, 75
 41,  -57, 73
 40,  -56, 76
 37,  -57, 67
 32,  -64, 63
 39,  -67, 71
 40,  -70, 72
 44,  -68, 74
 44,  -66, 74
 44,  -65, 70
 43,  -63, 67
 38,  -65, 64
 36,  -64, 65
 42,  -60, 66
 41,  -65, 70
 40,  -62, 71
 0,  -30, 90
 61,  -75, 48
 53,  -68, 71
 44,  -53, 64
 40,  -44, 68
 34,  -50, 79
 38,  -56, 80
 52,  -47, 64
 45,  -52, 61
 43,  -60, 67
 46,  -59, 78
 46,  -61, 78
 33,  -74, 78
 26,  -75, 85
 30,  -68, 79
 18,  -49, 81
 21,  -36, 80
 32,  -27, 65
 38,  -27, 64
 48,  -34, 55
 55,  -57, 39
 49,  -50, 39
 38,  -58, 41
 24,  -73, 56
 31,  -69, 58
 30,  -67, 51
 23,  -70, 57
 35,  -70, 64
 47,  -70, 56
 45,  -55, 73
 42,  -43, 76
 41,  -49, 66
 37,  -51, 64
 39,  -44, 72
 36,  -46, 69
 34,  -49, 65
 33,  -41, 70
 36,  -40, 84
 37,  -46, 90
 36,  -59, 83
 35,  -54, 76
 37,  -43, 73
 21,  4, 34
 51,  -48, 58
 27,  -26, 106
 59,  -60, 86
 48,  -73, 73
 40,  -76, 70
 30,  -74, 69
 32,  -66, 67
 34,  -66, 66
 23,  -57, 70
 25,  -46, 75
 38,  -49, 80
 43,  -59, 81
 49,  -68, 76
 48,  -74, 72
 6,  -3, 88
 -4,  -22, 83
 29,  -40, 81
 14,  -16, 78
 23,  -55, 25
 62,  -134, 26
 32,  -85, 73
 32,  -68, 102
 18,  -46, 109
 -3,  -60, 93
 12,  -80, 77
 22,  -79, 76
 15,  -94, 65
 12,  -90, 66
 9,  -70, 71
 13,  -65, 66
 25,  -47, 78
 30,  -49, 83
 14,  -65, -49
 -37,  -94, -17
 0,  -68, 53
 18,  -60, 7
 -46,  -79, 32
 -11,  -58, 34
 26,  -48, 52
 -19,  -66, 37
 -31,  -61, 20
 -42,  -55, 51
 -33,  -59, 35
 -18,  -39, 51
 -30,  -21, 68
 -36,  -25, 85
 -35,  -33, 70
 -37,  -36, 55
 -39,  -43, 43
 -50,  -60, 31
 -59,  -54, 25
 -60,  -47, 26
 -72,  -63, 24
 -73,  -58, 33
 -73,  -51, 24
 -70,  -63, 0
 -63,  -62, -14
 -62,  -55, -18
 -57,  -51, -21
 -55,  -57, -26
 -69,  -65, -29
 -67,  -67, -32
 -68,  -68, -39
 -70,  -64, -46
 77,  -48, 63
 -92,  -89, -58
 -79,  -100, -28
 -49,  -70, -27
 -53,  -71, -44
 -71,  -93, -22
 -77,  -104, -35
 -65,  -104, -25
 -57,  -105, -15
 -74,  -103, -6
 -56,  -96, 0
 -65,  -98, -10
 -18,  -106, -1
 -120,  -87, -29
 -94,  -82, -94
 -38,  -74, -39
 -69,  -69, -24
 -60,  -85, -49
 -61,  -96, -73
 -62,  -79, -77
 -67,  -79, -79
 -86,  -86, -84
 -53,  -97, -74
 -63,  -82, -76
 -72,  -76, -69
 -62,  -81, -79
 -61,  -93, -86
 -61,  -91, -84
 -54,  -104, -71
 -56,  -105, -59
 -60,  -103, -55
 -61,  -99, -55
 -55,  -101, -52
 -62,  -93, -58
 -73,  -75, -68
 -69,  -75, -79
 -73,  -67, -85
 -81,  -70, -92
 -65,  -79, -82
 -70,  -79, -86
 -63,  -86, -79
 -84,  -76, -84
 -91,  -85, -83
 -93,  -98, -79
 -91,  -103, -79
 -94,  -105, -82
 -96,  -111, -82
 -83,  -115, -82
 -84,  -125, -81
 -78,  -131, -96
 -69,  -137, -117
 -68,  -127, -111
 -80,  -117, -102
 -67,  -119, -97
 -74,  -104, -82
 -89,  -77, -48
 -75,  -78, -51
 -81,  -80, -56
 -82,  -74, -59
 -83,  -73, -67
 -84,  -71, -62
 -83,  -75, -70
 -94,  -73, -75
 -106,  -51, -60
 -102,  -44, -47
 -93,  -39, -43
 -103,  -43, -56
 -110,  -57, -52
 -83,  -78, -51
 -151,  -63, -52
 -51,  -106, -30
 -94,  -68, -42
 -66,  -79, -1
 -112,  -62, -21
 -86,  -39, 1
 -60,  -47, -10
 -76,  -45, 0
 -71,  -45, -10
 -73,  -47, -14
 -78,  -49, -18
 -73,  -31, -24
 -73,  -48, -9
 -65,  -45, -13
 -67,  -36, -10
 -60,  -28, -9
 -78,  -29, -15
 -63,  -20, -4
 -66,  -24, -5
 -66,  -12, -32
 -46,  -15, -5
 -60,  -12, 36
 -61,  -12, -1
 -52,  -19, -33
 -51,  -22, -38
 -60,  -18, -20
 -73,  -21, 7
 -69,  -9, 12
 -55,  -10, -5
 -54,  -10, -6
 -51,  -9, 10
 -61,  -10, 23
 -59,  -16, 25
 -68,  -26, 21
 -79,  -28, 21
 -82,  -31, 14
 -74,  -38, 0
 -104,  -37, 0
 -79,  -43, -9
 -80,  -32, -15
 -87,  -39, -19
 -78,  -37, -30
 -79,  -30, -9
 -123,  -74, -14
 -90,  -37, -19
 -88,  -49, -21
 -117,  -53, -23
 -118,  -47, -51
 -125,  -77, -12
 -134,  -75, -42
 -149,  -96, -22
 -139,  -97, -32
 -136,  -102, -45
 -132,  -104, -48
 -121,  -110, -60
 -106,  -113, -62
 -91,  -120, -66
 -70,  -130, -74
 -60,  -139, -83
 35,  -156, -13
 -128,  -130, -56
 -31,  -137, -57
 -35,  -150, -52
 -52,  -144, -41
 -36,  -137, -32
 -26,  -135, -23
 -35,  -133, -13
 -18,  -142, 27
 -132,  -112, -64
 -10,  -125, -35
 -43,  -111, -26
 -43,  -99, -31
 -38,  -90, -32
 -30,  -89, -38
 -23,  -90, -44
 -24,  -92, -54
 0,  -96, -73
 -24,  -87, -68
 -24,  -73, -67
 -24,  -65, -56
 -22,  -53, -49
 -21,  -54, -47
 -21,  -67, -50
 -23,  -79, -60
 -21,  -54, -53
 -21,  -66, -51
 -30,  -60, -46
 -22,  -59, -43
 -25,  -58, -45
 -32,  -52, -44
 -31,  -43, -48
 -33,  -41, -50
 -40,  -42, -52
 -34,  -50, -56
 -36,  -56, -59
